[10/Aug/2020 13:44:06] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:288] Waiting for apps ready_event.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:299] Apps ready_event triggered. Sending autoreload_started signal.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:247] Watching dir /Users/nrking0/Desktop/Project/poll/locale with glob **/*.mo.
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/platform.py first seen with mtime 1530070005.0
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/unittest/util.py first seen with mtime 1530070008.0
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/xml/dom/minidom.py first seen with mtime 1530070007.0
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/db/models/indexes.py first seen with mtime 1596160705.8258016
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/pkgutil.py first seen with mtime 1530070005.0
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/db/backends/signals.py first seen with mtime 1596160705.5388577
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/fractions.py first seen with mtime 1530070004.0
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1596160701.7304661
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Users/nrking0/Desktop/Project/myvenv/lib/python3.7/site-packages/django/apps/config.py first seen with mtime 1596160698.6527872
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/encodings/latin_1.py first seen with mtime 1530070006.0
[10/Aug/2020 13:44:06] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/importlib/__init__.py first seen with mtime 1530070006.0
